 saioa_id ;    eguna    ; ordutegia ; filma_id ; aretoa_id ; zinema_id 
129; 2024-02-16;  17:00:00 ;1;4;4
130; 2024-02-16;  11:15:00 ;2;5;5
131; 2024-02-16;  13:45:00 ;3;6;1
132; 2024-02-16;  16:30:00 ;4;7;2
133; 2024-02-16;  12:15:00 ;5;8;3
134; 2024-02-16;  14:45:00 ;6;9;4
135; 2024-02-16;  17:00:00 ;7;10;5
136; 2024-02-16;  11:00:00 ;8;11;1
137; 2024-02-16;  13:30:00 ;9;12;2
138; 2024-02-16;  16:15:00 ;10;13;3
139; 2024-02-16;  12:00:00 ;11;14;4
140; 2024-02-16;  14:30:00 ;12;15;5
141; 2024-02-16;  17:00:00 ;13;16;1
142; 2024-02-16;  11:15:00 ;14;17;2
143; 2024-02-16;  13:45:00 ;15;18;3
144; 2024-02-16;  16:30:00 ;16;19;4
145; 2024-02-16;  12:15:00 ;1;20;5
146; 2024-02-16;  14:45:00 ;2;21;1
147; 2024-02-16;  17:00:00 ;3;22;2
148; 2024-02-16;  11:00:00 ;4;23;3
149; 2024-02-16;  13:30:00 ;5;24;4
150; 2024-02-16;  16:15:00 ;6;25;5
151; 2024-02-17  ;  12:00:00 ;7;1;1
152; 2024-02-17  ;  14:30:00 ;8;2;2
153; 2024-02-17;  17:00:00 ;9;3;3
154; 2024-02-17;  10:45:00 ;10;4;4
155; 2024-02-17;  13:30:00 ;11;5;5
156; 2024-02-17;  16:15:00 ;12;6;1
157; 2024-02-17;  12:00:00 ;13;7;2
158; 2024-02-17;  14:30:00 ;14;8;3
159; 2024-02-17;  17:00:00 ;15;9;4
160; 2024-02-17;  11:15:00 ;16;10;5
161; 2024-02-17;  13:45:00 ;1;11;1
162; 2024-02-17;  16:30:00 ;2;12;2
163; 2024-02-17;  12:15:00 ;3;13;3
164; 2024-02-17;  14:45:00 ;4;14;4
165; 2024-02-17;  17:00:00 ;5;15;5
166; 2024-02-17;  11:00:00 ;6;16;1
167; 2024-02-17;  13:30:00 ;7;17;2
168; 2024-02-17;  12:00:00 ;8;18;3
169; 2024-02-17;  14:30:00 ;9;19;4
170; 2024-02-17;  17:00:00 ;10;20;5
171; 2024-02-17;  11:15:00 ;11;21;1
172; 2024-02-17;  13:45:00 ;12;22;2
173; 2024-02-17;  16:30:00 ;13;23;3
174; 2024-02-17;  12:15:00 ;14;24;4
175; 2024-02-17;  14:45:00 ;15;25;5
176; 2024-02-17;  17:00:00 ;16;1;1
177; 2024-02-17;  11:00:00 ;1;2;2
178; 2024-02-17;  13:30:00 ;2;3;3
179; 2024-02-17;  16:15:00 ;3;4;4
180; 2024-02-17;  13:30:00 ;4;5;5
181; 2024-02-17;  16:15:00 ;5;6;1
182; 2024-02-17;  12:00:00 ;6;7;2
183; 2024-02-17;  14:30:00 ;7;8;3
184; 2024-02-17;  16:45:00 ;8;9;4
185; 2024-02-17;  10:00:00 ;9;10;5
186; 2024-02-17;  11:45:00 ;10;11;1
187; 2024-02-17;  16:15:00 ;11;12;2
188; 2024-02-17;  12:00:00 ;12;13;3
189; 2024-02-17;  14:30:00 ;13;14;4
190; 2024-02-17;  17:00:00 ;14;15;5
191; 2024-02-17;  11:15:00 ;15;16;1
192; 2024-02-17;  13:45:00 ;16;17;2
193; 2024-02-17;  16:30:00 ;1;18;3
194; 2024-02-17;  12:15:00 ;2;19;4
195; 2024-02-17;  14:45:00 ;3;20;5
196; 2024-02-17;  17:00:00 ;4;21;1
197; 2024-02-17;  11:00:00 ;5;22;2
198; 2024-02-17;  13:30:00 ;6;23;3
199; 2024-02-17;  16:15:00 ;7;24;4
200; 2024-02-17;  12:00:00 ;8;25;5
201; 2024-02-17;  13:00:01;9;1;1
202; 2024-02-17;  15:30:01;10;2;2
203; 2024-02-17;  18:00:01;11;3;3
204; 2024-02-17;  13:30:01;12;4;4
205; 2024-02-17;  16:00:01;13;5;5
206; 2024-02-17;  19:00:01;14;6;1
207; 2024-02-17;  14:00:01;15;7;2
208; 2024-02-17;  17:30:01;16;8;3
209; 2024-02-17;  20:00:01;1;9;4
210; 2024-02-17;  12:45:01;2;10;5
211; 2024-02-17;  15:15:01;3;11;1
212; 2024-02-17;  17:45:01;4;12;2
213; 2024-02-17;  11:30:01;5;13;3
214; 2024-02-17;  14:00:01;6;14;4
215; 2024-02-17;  16:30:01;7;15;5
216; 2024-02-17;  10:00:01;8;16;1
217; 2024-02-17;  12:15:01;9;17;2
218; 2024-02-17;  15:00:01;10;18;3
219; 2024-02-17;  13:45:01;11;19;4
220; 2024-02-17;  16:00:01;12;20;5
221; 2024-02-17;  18:45:01;13;21;1
222; 2024-02-17;  12:30:01;14;22;2
223; 2024-02-17;  15:00:01;15;23;3
224; 2024-02-17;  17:30:01;16;24;4
225; 2024-02-17;  14:15:01;1;25;5
226; 2024-02-18;  16:45:01;2;1;1
227; 2024-02-18;  19:00:01;3;2;2
228; 2024-02-18;  11:00:01;4;3;3
229; 2024-02-18;  13:30:01;5;4;4
230; 2024-02-18;  16:15:01;6;5;5
231; 2024-02-18;  12:00:01;7;6;1
232; 2024-02-18;  14:30:01;8;7;2
233; 2024-02-18;  17:00:01;9;8;3
234; 2024-02-18;  13:15:01;10;9;4
235; 2024-02-18;  15:45:01;11;10;5
236; 2024-02-18;  18:30:01;12;11;1
237; 2024-02-18;  10:30:01;13;12;2
238; 2024-02-18;  13:00:01;14;13;3
239; 2024-02-18;  15:45:01;15;14;4
240; 2024-02-18;  11:00:01;16;15;5
241; 2024-02-18;  14:00:01;1;16;1
242; 2024-02-18;  16:30:01;2;17;2
243; 2024-02-18;  12:15:01;3;18;3
244; 2024-02-18;  14:45:01;4;19;4
245; 2024-02-18;  17:00:01;5;20;5
246; 2024-02-18;  10:45:01;6;21;1
247; 2024-02-18;  13:30:01;7;22;2
248; 2024-02-18;  16:15:01;8;23;3
249; 2024-02-18;  12:00:01;9;24;4
250; 2024-02-18;  14:30:01;10;25;5
251; 2024-02-18;  17:00:01;11;1;1
252; 2024-02-18;  13:15:01;12;2;2
253; 2024-02-18;  15:45:01;13;3;3
254; 2024-02-18;  18:30:01;14;4;4
255; 2024-02-18;  10:30:01;15;5;5
256; 2024-02-18;  13:00:01;16;6;1
257; 2024-02-18;  15:45:01;1;7;2
258; 2024-02-18;  11:00:01;2;8;3
259; 2024-02-18;  14:00:01;3;9;4
260; 2024-02-18;  16:30:01;4;10;5
261; 2024-02-18;  12:15:01;5;11;1
262; 2024-02-18;  14:45:01;6;12;2
263; 2024-02-18;  17:00:01;7;13;3
264; 2024-02-18;  10:45:01;8;14;4
265; 2024-02-18;  13:30:01;9;15;5
266; 2024-02-18;  16:15:01;10;16;1
267; 2024-02-18;  12:00:01;11;17;2
268; 2024-02-18;  14:30:01;12;18;3
269; 2024-02-18;  17:00:01;13;19;4
270; 2024-02-18;  11:15:01;14;20;5
271; 2024-02-18;  13:45:01;15;21;1
272; 2024-02-18;  16:30:01;16;22;2
273; 2024-02-18;  12:15:01;1;23;3
274; 2024-02-18;  14:45:01;2;24;4
275; 2024-02-18;  17:00:01;3;25;5
276; 2024-02-18;  11:00:01;4;1;1
277; 2024-02-18;  13:30:01;5;2;2
278; 2024-02-18;  16:15:01;6;3;3
279; 2024-02-18;  12:00:01;7;4;4
280; 2024-02-18;  14:30:01;8;5;5
281; 2024-02-18;  17:00:01;9;6;1
282; 2024-02-18;  11:15:01;10;7;2
283; 2024-02-18;  13:45:01;11;8;3
284; 2024-02-18;  16:30:01;12;9;4
285; 2024-02-18;  12:15:01;13;10;5
286; 2024-02-18;  14:45:01;14;11;1
287; 2024-02-18;  17:00:01;15;12;2
288; 2024-02-18;  11:00:01;16;13;3
289; 2024-02-18;  13:30:01;1;14;4
290; 2024-02-18;  16:15:01;2;15;5
291; 2024-02-18;  12:00:01;3;16;1
292; 2024-02-18;  14:30:01;4;17;2
293; 2024-02-18;  17:00:01;5;18;3
294; 2024-02-18;  10:45:01;6;19;4
295; 2024-02-18;  13:30:01;7;20;5
296; 2024-02-18;  16:15:01;8;21;1
297; 2024-02-18;  12:00:01;9;22;2
298; 2024-02-18;  14:30:01;10;23;3
299; 2024-02-18;  17:00:01;11;24;4
300; 2024-02-18;  11:15:01;12;25;5
301; 2024-02-19;  13:45:01;13;1;1
302; 2024-02-19;  16:30:01;14;2;2
303; 2024-02-19;  12:15:01;15;3;3
304; 2024-02-19;  14:45:01;16;4;4
305; 2024-02-19;  17:00:01;1;5;5
306; 2024-02-19;  11:00:01;2;6;1
307; 2024-02-19;  13:30:01;3;7;2
308; 2024-02-19;  16:15:01;4;8;3
309; 2024-02-19;  12:00:01;5;9;4
310; 2024-02-19;  14:30:01;6;10;5
311; 2024-02-19;  17:00:01;7;11;1
312; 2024-02-19;  11:15:01;8;12;2
313; 2024-02-19;  13:45:01;9;13;3
314; 2024-02-19;  16:30:01;10;14;4
315; 2024-02-19;  12:15:01;11;15;5
316; 2024-02-19;  14:45:01;12;16;1
317; 2024-02-19;  17:00:01;13;17;2
318; 2024-02-19;  11:00:01;14;18;3
319; 2024-02-19;  13:30:01;15;19;4
320; 2024-02-19;  16:15:01;16;20;5
321; 2024-02-19;  12:00:01;1;21;1
322; 2024-02-19;  14:30:01;2;22;2
323; 2024-02-19;  17:00:01;3;23;3
324; 2024-02-19;  10:45:01;4;24;4
325; 2024-02-19;  13:30:01;5;25;5
326; 2024-02-19;  16:15:01;6;1;1
327; 2024-02-19;  12:00:01;7;2;2
328; 2024-02-19;  14:30:01;8;3;3
329; 2024-02-19;  17:00:01;9;4;4
330; 2024-02-19;  11:15:01;10;5;5
331; 2024-02-19;  13:45:01;11;6;1
332; 2024-02-19;  16:30:01;12;7;2
333; 2024-02-19;  12:15:01;13;8;3
334; 2024-02-19;  14:45:01;14;9;4
335; 2024-02-19;  17:00:01;15;10;5
336; 2024-02-19;  11:00:01;16;11;1
337; 2024-02-19;  13:30:01;1;12;2
338; 2024-02-19;  16:15:01;2;13;3
339; 2024-02-19;  12:00:01;3;14;4
340; 2024-02-19;  14:30:01;4;15;5
341; 2024-02-19;  17:00:01;5;16;1
342; 2024-02-19;  11:15:01;6;17;2
343; 2024-02-19;  13:45:01;7;18;3
344; 2024-02-19;  16:30:01;8;19;4
345; 2024-02-19;  12:15:01;9;20;5
346; 2024-02-19;  14:45:01;10;21;1
347; 2024-02-19;  17:00:01;11;22;2
348; 2024-02-19;  11:00:01;12;23;3
349; 2024-02-19;  13:30:01;13;24;4
350; 2024-02-19;  16:15:01;14;25;5
351; 2024-02-19;  12:00:01;15;1;1
352; 2024-02-19;  14:30:01;16;2;2
353; 2024-02-19;  17:00:01;1;3;3
354; 2024-02-19;  10:45:01;2;4;4
355; 2024-02-19;  13:30:01;3;5;5
356; 2024-02-19;  16:15:01;4;6;1
357; 2024-02-19;  12:00:01;5;7;2
358; 2024-02-19;  14:30:01;6;8;3
359; 2024-02-19;  17:00:01;7;9;4
360; 2024-02-19;  11:15:01;8;10;5
361; 2024-02-19;  13:45:01;9;11;1
362; 2024-02-19;  16:30:01;10;12;2
363; 2024-02-19;  12:15:01;11;13;3
364; 2024-02-19;  14:45:01;12;14;4
365; 2024-02-19;  17:00:01;13;15;5
366; 2024-02-19;  11:00:01;14;16;1
367; 2024-02-19;  13:30:01;15;17;2
368; 2024-02-19;  12:00:01;16;18;3
369; 2024-02-19;  14:30:01;1;19;4
370; 2024-02-19;  17:00:01;2;20;5
371; 2024-02-19;  11:15:01;3;21;1
372; 2024-02-19;  13:45:01;4;22;2
373; 2024-02-19;  16:30:01;5;23;3
374; 2024-02-19;  12:15:01;6;24;4
375; 2024-02-19;  14:45:01;7;25;5
376; 2024-02-20;  17:00:01;8;1;1
377; 2024-02-20;  11:00:01;9;2;2
378; 2024-02-20;  13:30:01;10;3;3
379; 2024-02-20;  16:15:01;11;4;4
380; 2024-02-20;  13:30:01;12;5;5
381; 2024-02-20;  16:15:01;13;6;1
382; 2024-02-20;  12:00:01;14;7;2
383; 2024-02-20;  14:30:01;15;8;3
384; 2024-02-20;  16:45:01;16;9;4
385; 2024-02-20;  10:00:01;1;10;5
386; 2024-02-20;  11:45:01;2;11;1
387; 2024-02-20;  16:15:01;3;12;2
388; 2024-02-20;  12:00:01;4;13;3
389; 2024-02-20;  14:30:01;5;14;4
390; 2024-02-20;  17:00:01;6;15;5
391; 2024-02-20;  11:15:01;7;16;1
392; 2024-02-20;  13:45:01;8;17;2
393; 2024-02-20;  16:30:01;9;18;3
394; 2024-02-20;  12:15:01;10;19;4
395; 2024-02-20;  14:45:01;11;20;5
396; 2024-02-20;  17:00:01;12;21;1
397; 2024-02-20;  11:00:01;13;22;2
398; 2024-02-20;  13:30:01;14;23;3
399; 2024-02-20;  16:15:01;15;24;4
400; 2024-02-20;  12:00:01;16;25;5
401; 2024-02-20;  13:00:02;1;1;1
402; 2024-02-20;  15:30:02;2;2;2
403; 2024-02-20;  18:00:02;3;3;3
404; 2024-02-20;  13:30:02;4;4;4
405; 2024-02-20;  16:00:02;5;5;5
406; 2024-02-20;  19:00:02;6;6;1
407; 2024-02-20;  14:00:02;7;7;2
408; 2024-02-20;  17:30:02;8;8;3
409; 2024-02-20;  20:00:02;9;9;4
410; 2024-02-20;  12:45:02;10;10;5
411; 2024-02-20;  15:15:02;11;11;1
412; 2024-02-20;  17:45:02;12;12;2
413; 2024-02-20;  11:30:02;13;13;3
414; 2024-02-20;  14:00:02;14;14;4
415; 2024-02-20;  16:30:02;15;15;5
416; 2024-02-20;  10:00:02;16;16;1
417; 2024-02-20;  12:15:02;1;17;2
418; 2024-02-20;  15:00:02;2;18;3
419; 2024-02-20;  13:45:02;3;19;4
420; 2024-02-20;  16:00:02;4;20;5
421; 2024-02-20;  18:45:02;5;21;1
422; 2024-02-20;  12:30:02;6;22;2
423; 2024-02-20;  15:00:02;7;23;3
424; 2024-02-20;  17:30:02;8;24;4
425; 2024-02-20;  14:15:02;9;25;5
426; 2024-02-20;  16:45:02;10;1;1
427; 2024-02-20;  19:00:02;11;2;2
428; 2024-02-20;  11:00:02;12;3;3
429; 2024-02-20;  13:30:02;13;4;4
430; 2024-02-20;  16:15:02;14;5;5
431; 2024-02-20;  12:00:02;15;6;1
432; 2024-02-20;  14:30:02;16;7;2
433; 2024-02-20;  17:00:02;1;8;3
434; 2024-02-20;  13:15:02;2;9;4
435; 2024-02-20;  15:45:02;3;10;5
436; 2024-02-20;  18:30:02;4;11;1
437; 2024-02-20;  10:30:02;5;12;2
438; 2024-02-20;  13:00:02;6;13;3
439; 2024-02-20;  15:45:02;7;14;4
440; 2024-02-20;  11:00:02;8;15;5
441; 2024-02-20;  14:00:02;9;16;1
442; 2024-02-20;  16:30:02;10;17;2
443; 2024-02-20;  12:15:02;11;18;3
444; 2024-02-20;  14:45:02;12;19;4
445; 2024-02-20;  17:00:02;13;20;5
446; 2024-02-20;  10:45:02;14;21;1
447; 2024-02-20;  13:30:02;15;22;2
448; 2024-02-20;  16:15:02;16;23;3
449; 2024-02-20;  12:00:02;1;24;4
450; 2024-02-20;  14:30:02;2;25;5
451; 2024-02-21;  17:00:02;3;1;1
452; 2024-02-21;  13:15:02;4;2;2
453; 2024-02-21;  15:45:02;5;3;3
454; 2024-02-21;  18:30:02;6;4;4
455; 2024-02-21;  10:30:02;7;5;5
456; 2024-02-21;  13:00:02;8;6;1
457; 2024-02-21;  15:45:02;9;7;2
458; 2024-02-21;  11:00:02;10;8;3
459; 2024-02-21;  14:00:02;11;9;4
460; 2024-02-21;  16:30:02;12;10;5
461; 2024-02-21;  12:15:02;13;11;1
462; 2024-02-21;  14:45:02;14;12;2
463; 2024-02-21;  17:00:02;15;13;3
464; 2024-02-21;  10:45:02;16;14;4
465; 2024-02-21;  13:30:02;1;15;5
466; 2024-02-21;  16:15:02;2;16;1
467; 2024-02-21;  12:00:02;3;17;2
468; 2024-02-21;  14:30:02;4;18;3
469; 2024-02-21;  17:00:02;5;19;4
470; 2024-02-21;  11:15:02;6;20;5
471; 2024-02-21;  13:45:02;7;21;1
472; 2024-02-21;  16:30:02;8;22;2
473; 2024-02-21;  12:15:02;9;23;3
474; 2024-02-21;  14:45:02;10;24;4
475; 2024-02-21;  17:00:02;11;25;5
476; 2024-02-21;  11:00:02;12;1;1
477; 2024-02-21;  13:30:02;13;2;2
478; 2024-02-21;  16:15:02;14;3;3
479; 2024-02-21;  12:00:02;15;4;4
480; 2024-02-21;  14:30:02;16;5;5
481; 2024-02-21;  17:00:02;1;6;1
482; 2024-02-21;  11:15:02;2;7;2
483; 2024-02-21;  13:45:02;3;8;3
484; 2024-02-21;  16:30:02;4;9;4
485; 2024-02-21;  12:15:02;5;10;5
486; 2024-02-21;  14:45:02;6;11;1
487; 2024-02-21;  17:00:02;7;12;2
488; 2024-02-21;  11:00:02;8;13;3
489; 2024-02-21;  13:30:02;9;14;4
490; 2024-02-21;  16:15:02;10;15;5
491; 2024-02-21;  12:00:02;11;16;1
492; 2024-02-21;  14:30:02;12;17;2
493; 2024-02-21;  17:00:02;13;18;3
494; 2024-02-21;  10:45:02;14;19;4
495; 2024-02-21;  13:30:02;15;20;5
496; 2024-02-21;  16:15:02;16;21;1
497; 2024-02-21;  12:00:02;1;22;2
498; 2024-02-21;  14:30:02;2;23;3
499; 2024-02-21;  17:00:02;3;24;4
500; 2024-02-21;  11:15:02;4;25;5
501; 2024-02-21;  13:45:02;5;1;1
502; 2024-02-21;  16:30:02;6;2;2
503; 2024-02-21;  12:15:02;7;3;3
504; 2024-02-21;  14:45:02;8;4;4
505; 2024-02-21;  17:00:02;9;5;5
506; 2024-02-21;  11:00:02;10;6;1
507; 2024-02-21;  13:30:02;11;7;2
508; 2024-02-21;  16:15:02;12;8;3
509; 2024-02-21;  12:00:02;13;9;4
510; 2024-02-21;  14:30:02;14;10;5
511; 2024-02-21;  17:00:02;15;11;1
512; 2024-02-21;  11:15:02;16;12;2
513; 2024-02-21;  13:45:02;1;13;3
514; 2024-02-21;  16:30:02;2;14;4
515; 2024-02-21;  12:15:02;3;15;5
516; 2024-02-21;  14:45:02;4;16;1
517; 2024-02-21;  17:00:02;5;17;2
518; 2024-02-21;  11:00:02;6;18;3
519; 2024-02-21;  13:30:02;7;19;4
520; 2024-02-21;  16:15:02;8;20;5
521; 2024-02-21;  12:00:02;9;21;1
522; 2024-02-21;  14:30:02;10;22;2
523; 2024-02-21;  17:00:02;11;23;3
524; 2024-02-21;  10:45:02;12;24;4
525; 2024-02-21;  13:30:02;13;25;5
526; 2024-02-22;  16:15:02;14;1;1
527; 2024-02-22;  12:00:02;15;2;2
528; 2024-02-22;  14:30:02;16;3;3
529; 2024-02-22;  17:00:02;1;4;4
530; 2024-02-22;  11:15:02;2;5;5
531; 2024-02-22;  13:45:02;3;6;1
532; 2024-02-22;  16:30:02;4;7;2
533; 2024-02-22;  12:15:02;5;8;3
534; 2024-02-22;  14:45:02;6;9;4
535; 2024-02-22;  17:00:02;7;10;5
536; 2024-02-22;  11:00:02;8;11;1
537; 2024-02-22;  13:30:02;9;12;2
538; 2024-02-22;  16:15:02;10;13;3
539; 2024-02-22;  12:00:02;11;14;4
540; 2024-02-22;  14:30:02;12;15;5
541; 2024-02-22;  17:00:02;13;16;1
542; 2024-02-22;  11:15:02;14;17;2
543; 2024-02-22;  13:45:02;15;18;3
544; 2024-02-22;  16:30:02;16;19;4
545; 2024-02-22;  12:15:02;1;20;5
546; 2024-02-22;  14:45:02;2;21;1
547; 2024-02-22;  17:00:02;3;22;2
548; 2024-02-22;  11:00:02;4;23;3
549; 2024-02-22;  13:30:02;5;24;4
550; 2024-02-22;  16:15:02;6;25;5
551; 2024-02-22;  12:00:02;7;1;1
552; 2024-02-22;  14:30:02;8;2;2
553; 2024-02-22;  17:00:02;9;3;3
554; 2024-02-22;  10:45:02;10;4;4
555; 2024-02-22;  13:30:02;11;5;5
556; 2024-02-22;  16:15:02;12;6;1
557; 2024-02-22;  12:00:02;13;7;2
558; 2024-02-22;  14:30:02;14;8;3
559; 2024-02-22;  17:00:02;15;9;4
560; 2024-02-22;  11:15:02;16;10;5
561; 2024-02-22;  13:45:02;1;11;1
562; 2024-02-22;  16:30:02;2;12;2
563; 2024-02-22;  12:15:02;3;13;3
564; 2024-02-22;  14:45:02;4;14;4
565; 2024-02-22;  17:00:02;5;15;5
566; 2024-02-22;  11:00:02;6;16;1
567; 2024-02-22;  13:30:02;7;17;2
568; 2024-02-22;  12:00:02;8;18;3
569; 2024-02-22;  14:30:02;9;19;4
570; 2024-02-22;  17:00:02;10;20;5
571; 2024-02-22;  11:15:02;11;21;1
572; 2024-02-22;  13:45:02;12;22;2
573; 2024-02-22;  16:30:02;13;23;3
574; 2024-02-22;  12:15:02;14;24;4
575; 2024-02-22;  14:45:02;15;25;5
576; 2024-02-22;  17:00:02;16;1;1
577; 2024-02-22;  11:00:02;1;2;2
578; 2024-02-22;  13:30:02;2;3;3
579; 2024-02-22;  16:15:02;3;4;4
580; 2024-02-22;  13:30:02;4;5;5
581; 2024-02-22;  16:15:02;5;6;1
582; 2024-02-22;  12:00:02;6;7;2
583; 2024-02-22;  14:30:02;7;8;3
584; 2024-02-22;  16:45:02;8;9;4
585; 2024-02-22;  10:00:02;9;10;5
586; 2024-02-22;  11:45:02;10;11;1
587; 2024-02-22;  16:15:02;11;12;2
